Company                       Product                       Description
NVIDIA Corporation            H800                          A high-performance GPU targeted at AI applications, mentioned in the context of China’s importation of advanced chips.
NVIDIA Corporation            NVIDIA GB200 Rack             A high-performance rack system designed for AI and compute, mentioned as a point of comparison in the AI era.
NVIDIA Corporation            DGX H100                      An AI server configuration that includes 8 H100 GPUs along with ancillary components such as dual Xeon processors, memory, NVSwitches, and networking gear, used for high-density AI compute clusters.
NVIDIA Corporation            A800                          A variant of NVIDIA’s high-end GPU, offering capabilities similar to the H800.
Neon                          Neon Cloud Database Service   A cloud-based database service offering cost-effective, short-term access to database functionality, optimized for AI-driven applications.
NetInt Inc.                   NetInt VCU                    A video encoding ASIC similar to Meta’s and Google’s offerings, sold to companies such as ByteDance, Baidu, Tencent, and Alibaba.
Nikon                         NSR-1505EX                    The first DUV lithography tool released by Nikon in 1988, initially featuring a resolution of 500nm and later upgraded to achieve 250nm resolution with a 100nm overlay.
Nomic                         GPT4All                       An ecosystem and model aggregation that brings together various open source AI models, highlighting low-budget fine-tuning achievements.
Not specified                 Chinchilla                    A dense transformer model that reflects optimal compute scaling observations.
Not specified                 Bloom                         A dense transformer model designed for language generation.
Not specified                 BERT                          A transformer model primarily used for natural language understanding.
Not specified                 Gopher                        A transformer model noted for its capabilities in language tasks.
Not specified                 MT-NLG                        A large-scale transformer model used for natural language generation tasks.
Nvidia                        Oberon GB200 platform         A highly anticipated platform discussed for its pricing, cost of goods, margins, and production ramp that is creating buzz throughout the supply chain.
Nvidia                        Hopper datacenter GPUs        Datacenter GPUs expected to be built on TSMC capacity, integral to Nvidia’s data center growth.
Nvidia                        Nemo framework                An AI framework used by Amazon in place of SageMaker for its Titan model, highlighting the diminished role of cloud software in certain AI applications.
Nvidia                        Nemotron 340B                 A high-performance model referenced with compute figures comparable to GPT-4.
Nvidia                        Datacenter GPU                High-performance GPU products used in datacenter applications, benefiting from cutting-edge foundry processes.
Nvidia                        full LHR V2                   A recompiled Nvidia driver created by removing the mining performance limiters (Lite Hash Rate) from its gaming GPUs; originally sold for $10 and later priced at $1,000,000 by the hackers.
Nvidia                        DGX GB200 NVL72               A vertically integrated rack system that features 72 GPUs, 36 CPUs, 18 NVSwitches, 72 InfiniBand NICs for back-end networking, and 36 Bluefield 3 Ethernet NICs for front-end networking. It leverages NVLink connectivity to achieve high bandwidth while avoiding the power and cost penalties of optical transceivers.
Nvidia                        Next-Generation GPU           An upcoming GPU from Nvidia aimed at advancing AI and high-performance computing.
Nvidia                        400G InfiniBand NICs          High-speed network interface cards offered by Nvidia with lower lead times relative to their Ethernet counterparts.
Nvidia                        X100 GPUs                     A series of upcoming GPUs mentioned as part of Nvidia’s aggressive hardware roadmap.
Nvidia                        Orin automotive lineup        Automotive GPUs from Nvidia that benefit from improved cost and performance through TSMC’s manufacturing.
Nvidia                        DGX H100                      A GPU-based system that, along with the DGX GB200 NVL72, utilizes three distinct networks: a front-end Ethernet network, a back-end InfiniBand or Ethernet scale-out network, and an NVLink scale-up network.
Nvidia                        Nvidia A100                   A GPU product designed for AI training and inferencing workloads that utilizes advanced packaging technologies such as CoWoS.
Nvidia                        Nvidia A100 GPU               A high-performance graphics processing unit which, like the H100, ships with approximately 10% of the chip disabled due to manufacturing yield strategies.
Nvidia                        Cedar Fever-7 Networking ModuleA networking module aimed at reducing the transceiver count per H100 node and optimizing cost and reliability.
Nvidia                        Nvidia AI GPUs with HBM memoryA product featuring active silicon on passive silicon packaging using TSMC’s CoWoS-S process.
Nvidia                        Nvidia H100                   A datacenter GPU for AI applications, noted as a standout ramp in the semiconductor segment.
Nvidia                        MGX modular server design platformA modular server design solution aimed at simplifying server architecture, although it commoditizes design work for OEMs.
Nvidia                        L40S GPUs                     GPUs that are being pushed by Nvidia to drive better allocations of scarce high-end products like the H100.
Nvidia                        GB300 GPU                     A new GPU variant introduced as part of the Blackwell series with upgraded memory (12-Hi HBM3E for 288GB total) and improved performance through architectural and system enhancements.
Nvidia                        Nvidia HGX H100 server        A GPU server designed for demanding compute workloads, used in the discussion of total cost of ownership in colocation environments.
Nvidia                        800G ConnectX-8 NIC           A network interface card offering twice the scale-out bandwidth on InfiniBand and Ethernet, with 48 PCIe lanes and SpectrumX capability, intended to improve data center interconnect performance.
Nvidia                        GB200 family                  A next‐generation AI GPU server design that features high rack power density (up to 130 kW per rack) and necessitates direct-to-chip liquid cooling to deliver significant performance improvements over previous models.
Nvidia                        Nvidia H100 GPU               A high-performance GPU used in advanced data centers that also ships with about 10% of its chip disabled due to manufacturing variations.
Nvidia                        B20                           A GPU variant similar to the H20, also re-exported to China under the current framework.
Nvidia                        Hopper GPU                    The next generation GPU designed for AI and HPC compute applications featuring 80 billion transistors, newer SMs, tensor cores, higher clock speeds, a 4th generation NVLink interconnect, and DPX instructions. It is available in a top-spec SMX style package with a power consumption of 700W.
Nvidia                        Miranda                       A standard GPU-only product arriving after Umbriel, featuring PCIe Gen 6, up to 800G networking, and a roadmap supporting up to 192GB of HBM memory with potential for refresh to 288GB.
Nvidia                        Lovelace gaming GPUs          Gaming GPUs by Nvidia slated to leverage TSMC’s advanced process nodes.
Nvidia                        H100                          A high-end AI GPU referenced as a benchmark in the competitive landscape against new entrants.
Nvidia                        DLSS                          A proprietary AI upscaling technology used in Nvidia products, whose source code was also leaked in the hack.
Nvidia                        Spectrum-X Ethernet           An Ethernet-based network solution designed for large GPU clusters offering cost and performance advantages over traditional InfiniBand.
Nvidia                        H100 GPU                      A high-performance GPU designed for AI workloads, whose production involves a multi-step supply chain process.
Nvidia                        B100                          The first version of Nvidia's Blackwell GPUs, codenamed Umbriel, designed for time-to-market with features such as PCIe Gen 5 support, 700W air-cooled configuration, and doubled NVLink speeds.
Nvidia                        DGX Cloud                     A cloud service offering focused on AI workloads that is part of Nvidia’s multi-pronged strategy.
Nvidia                        H20                           A GPU variant that has been re-exported to China and is noted for its lower margins compared to other models.
Nvidia                        Spectrum-X Ethernet network with Bluefield-3 DPU’sA networking solution that provides NIC mode functionality alongside advanced DPU capabilities.
Nvidia                        RTX4090                       A high-end gaming GPU that, under the framework, is effectively banned from Tier 3 countries like China.
Nvidia                        B300 GPU                      A compute-focused GPU produced on TSMC’s 4NP process, delivering a 50% performance increase in FLOPS over its predecessor (B200) and featuring increased power consumption for higher throughput.
Nvidia                        B200                          A follow-up to the B100 with a higher power limit of 1,000W that requires a server redesign, yet it remains air-cooled and retains PCIe Gen 5 and enhanced networking capabilities.
Nvidia                        NVSwitch                      A custom fabric switch designed for inter-node communications that will support large GPU clusters and enable memory sharing, sharding of models, and efficient data aggregation.
Nvidia                        H200                          An upcoming AI GPU announced as part of Nvidia’s accelerated roadmap.
Nvidia                        A100 GPU                      A GPU used as a benchmark in the article, manufactured on TSMC’s 7nm process, and compared against Graphcore’s accelerator.
Nvidia                        RTX 3060 GPU                  A gaming graphics processing unit by Nvidia which first implemented the Lite Hash Rate (LHR) feature to limit cryptocurrency mining performance.
Nvidia Corporation            RTX 4090                      A high-end GPU based on the AD102 die, noted for its dramatic transistor density increase and a MSRP increase from $1499 (3090/3090ti) to $1599.
Nvidia Corporation            Blackwell GPU                 Another GPU product from Nvidia used in high-end AI clusters.
Nvidia Corporation            V100                          An older generation GPU that is also banned under the new regulations.
Nvidia Corporation            GB300 & B300 GPU              A next-generation GPU product family announced as part of Nvidia's roadmap, offering increased performance, higher memory capacity, and improved inference cost efficiency.
Nvidia Corporation            GB300                         The upcoming flagship AI chip set to launch in the third quarter of the year, intended as an upgrade to an existing product.
Nvidia Corporation            Spectrum Ethernet SN4600 SwitchA network switch used in frontend network deployments for AI clusters.
Nvidia Corporation            800G Optical Transceivers     Optical transceivers used in InfiniBand, Ethernet, and NVLink networks, bundled with Nvidia products to drive over $1B in optics sales over the next 12 months.
Nvidia Corporation            RTX 4080 12GB                 A GPU based on the AD104 die that has been controversially branded as part of the 4080 series despite comparisons with the older 3080ti, reflecting Nvidia’s cost and marketing challenges.
Nvidia Corporation            GB200 NVL72                   A high-density rack variant requiring approximately 120kW per rack, featuring 18 1U compute trays with Bianca boards and 9 NVSwitch trays with dual 28.8Tb/s NVSwitch5 ASICs.
Nvidia Corporation            4090                          A GPU designed for the datacenter expected to be granted a license under the revised restrictions.
Nvidia Corporation            B200                          A GPU available in higher power configurations (including a 1200W variant not shown in tables) that delivers 2,250 TFLOPS of FP16/BF16 compute with increased clock speeds.
Nvidia Corporation            DGX system                    An integrated system built around Nvidia GPUs, featuring tuned software libraries and direct vendor support.
Nvidia Corporation            B200 NVL72/NVL36x2 (Miranda)  An upcoming form factor scheduled for Q2 2025 that uses x86 CPUs instead of Grace CPUs, expected to have a similar compute tray configuration but with lower upfront capital cost and distinct power and bandwidth tradeoffs.
Nvidia Corporation            Bluefield-3                   A device integrated into some compute trays for frontend networking and management, although noted as overprovisioned in the reference design.
Nvidia Corporation            B200A                         A GPU product based on the B102 die aimed at lower-end and mid-range AI systems, used to replace previous HGX 8-GPU configurations. An Ultra variant (B200A Ultra NVL36) is also introduced with performance enhancements but without a memory upgrade.
Nvidia Corporation            DOCA                          A software platform aimed at enabling data processing unit (DPU) functionality in networking applications.
Nvidia Corporation            RTX 3060                      A gaming GPU that was expected to offer reduced mining performance though constraints were eventually bypassed.
Nvidia Corporation            GB200                         An existing AI chip product currently used by major cloud providers, which the GB300 is set to upgrade.
Nvidia Corporation            Ampere GPU lineup             Nvidia’s current generation GPU lineup that is used as a benchmark for comparing the new Ada Lovelace architecture.
Nvidia Corporation            GB200 Architecture            A high-density liquid-cooled AI chip architecture expected to ramp up to millions of units.
Nvidia Corporation            GB200 NVL36x2                 A design using two interconnected racks (each at 66kW per rack) that together provide a non-blocking, all-to-all connection among 72 GPUs, with 2U compute trays and additional NVSwitch5 ASICs for cross-rack connectivity.
Nvidia Corporation            GB200 NVL36x2 (Ariel)         A variant of the GB200 NVL36x2 in which the standard Bianca board is replaced with a custom Ariel board that includes 1 Grace CPU and 1 Blackwell GPU, targeted primarily at Meta's recommendation system workloads.
Nvidia Corporation            SHARP                         A proprietary technology integrated into Nvidia switches for accelerating collective communication tasks such as broadcasts and reductions.
Nvidia Corporation            DGX H100 NVL256 ‘Ranger’ PlatformA previously announced Nvidia platform that was not brought to production because of cost, power, and reliability concerns, serving as a benchmark for system design comparisons.
Nvidia Corporation            DRIVE Thor                    An upcoming automotive compute platform expected to deliver over 2,000 TeraFLOPS of compute power, mentioned as a point of comparison to Tesla’s HW4 capabilities.
Nvidia Corporation            Quantum X-800 3400            A CPO-based network switch featuring 144 ports at 800G designed to deliver high throughput and improved networking efficiency.
Nvidia Corporation            RTX 4080                      A GPU that, based on its FP8 matmul and FP16 accumulate performance, may require a license under the new rules, though it is expected to be approved.
Nvidia Corporation            CS9500 Series Modular Switch  A physical modular switch for NDR InfiniBand deployments with liquid cooling requirements.
Nvidia Corporation            Parabricks                    A suite of GPU-accelerated tools for genomics secondary analysis, facilitating rapid base calling, alignment, and variant calling to overcome computational bottlenecks.
Nvidia Corporation            Nvidia A100 GPU               An AI training GPU that is noted for its strong performance across multiple MLPerf benchmarks and flexible hardware capabilities.
Nvidia Corporation            A100 GPU                      An Nvidia GPU mentioned as a performance benchmark, with the Huawei Ascend 910B landing between this product and the H100 in terms of performance.
Nvidia Corporation            A100                          A current generation GPU designed for advanced AI and high-performance computing, featuring high IO and performance metrics.
Nvidia Corporation            NVSwitch5 ASIC                An application-specific integrated circuit used in NVSwitch trays to manage high-speed NVLink communication among GPUs.
Nvidia Corporation            NVLink Scale-Up Network       A specialized network interconnect designed for high-bandwidth GPU-to-GPU communications, offering up to 3.2TB/s bandwidth to support training and inference workloads in AI.
Nvidia Corporation            NVLink Fusion                 A new offering that allows customers to combine Nvidia chips with chips designed by other vendors in AI servers.
Nvidia Corporation            DGX Cloud                     A cloud service that offers pretrained models, optimized inference engines, and additional tools for AI development, attracting enterprise customers from several verticals.
Nvidia Corporation            H100                          A next-generation AI and HPC chip subject to the new export controls.
Nvidia Corporation            H100 GPU                      A high-performance GPU used in AI clusters for intensive machine learning and training workloads.
Nvidia Corporation            H20 GPU                       An upcoming Nvidia GPU that will ship high performance chips into China, featuring full specifications including FLOPS, NVLink bandwidth, power consumption, and memory capabilities. It is also the only one in the series using CoWoS technology.
Nvidia Corporation            Bianca Board                  A compute board integrated into the GB200 design that houses 1 Grace CPU and 2 Blackwell GPUs and serves as the heart of the compute tray.
Nvidia Corporation            Mellanox Connect X7           A networking product using InfiniBand, employed to demonstrate Genoa’s enhanced IO performance.
Nvidia Corporation            H200                          A Nvidia GPU product that offers competitive memory bandwidth and latency performance compared to AMD’s offerings.
Nvidia Corporation            H200 GPU                      A future GPU product mentioned in the context of evolving IO requirements and enhanced chip interconnect capabilities.
Nvidia Corporation            Base Command Manager (BCM)    A software package, also sold under the label Nvidia AI Enterprise, used for AI workflow and cluster management.
Nvidia Corporation            H800                          A modified AI chip variant that has been blocked under the new U.S. export restrictions.
Nvidia Corporation            HGX Series AI Servers         A line of high-performance AI server systems designed for demanding computational workloads in AI and deep learning.
Nvidia Corporation            Hopper                        A next-generation product expected to become available next year, which is anticipated to bring significant cost improvements in AI training.
Nvidia Corporation            Hopper GPU                    A GPU product designed for AI cluster deployments and high performance computing workloads.
Nvidia Corporation            A800                          A modified version of Nvidia’s AI chips designed with slightly lower bandwidth, now blocked by the new regulation.
Nvidia Corporation            Ada Lovelace GPU lineup       Nvidia’s new generation of GPUs based on the Ada Lovelace architecture offering substantial performance gains in ray tracing and AI rendering.
Nvidia Corporation            MGX GB200A NVL36              A fully air-cooled 40kW per rack server featuring 36 GPUs interconnected with NVLink, designed for deployment in environments that cannot support high power density and liquid cooling setups. The design features nine compute trays, each with one Grace CPU and four 700W B200A GPUs, and emphasizes simplified thermal engineering.
Nvidia Corporation            ConnectX-8 NIC                The next-generation network interface card offering increased bandwidth and improved connectivity for backend networking in future GB200 deployments.
Nvidia Corporation            X100 GPU                      Another GPU product mentioned alongside the H100 and B100, part of Nvidia’s strategy to compete in the AI accelerator space.
Nvidia Corporation            DCGMI Diagnostics             A diagnostic tool used to detect GPU errors such as silent data corruption in Nvidia GPUs.
Nvidia Corporation            L2 GPU                        Another Nvidia GPU that will be part of the new lineup designed to meet emerging performance and regulatory requirements.
Nvidia Corporation            L20 GPU                       One of Nvidia’s upcoming GPUs with detailed performance specifications, destined for the Chinese market.
Nvidia Corporation            L4                            A GPU that is blocked under the new rules due to its performance and density parameters, despite being under the expected bar.
Nvidia Corporation            L40S                          A GPU that was expected to ship to China but is now caught under the new restrictions.
Nvidia Corporation            Grace CPU                     An Arm-based CPU used to complement Nvidia's GPU products in next-generation systems.
Nvidia Corporation            B100                          An air-cooled GPU with a 700W thermal envelope delivering 1,750 TFLOPS of FP16/BF16 compute, designed to slot into existing HGX H100 systems.
Nvidia Corporation            ConnectX-7 NIC                A network interface card used in backend networking within the GB200 systems, based on the ConnectX design.
Nvidia Corporation            LHR Low Hash Rate GPUs        A refresh of the Ampere series GPUs that are engineered to reduce cryptocurrency mining efficiency.
Nvidia Corporation            B100 GPU                      A next-generation GPU product referenced in discussions about overcoming IO limitations and achieving higher memory bandwidth.
Nvidia Corporation            Oberon Series AI Servers      An AI server product series assembled by partners and sold by Nvidia, used for running advanced machine learning and data processing tasks.
Nvidia Corporation            Nvidia A100                   A high-end GPU used as a benchmark for comparison in terms of memory bandwidth and power consumption, highlighting the advantages of the chip design found in the Cerebras WSE-2.
Nvidia Corporation            Nvidia HGX A100 Server        A high-performance server used in datacenters and deployed by Microsoft for intensive AI training workloads.
Nvidia Corporation            Nvidia H100 GPU (SXM 80GB variant)A high-end GPU designed for AI and data center workloads, noted for its performance and bandwidth specifications.
Nvidia Corporation            Nvidia H100 GPU               A high-performance graphics processing unit designed for accelerating AI and deep learning tasks.
Nvidia Corporation            Nvidia H100                   An AI accelerator with a thermal design power of 700 watts, designed for datacenter applications.
Nvidia Corporation            Nvidia Top-Tier Chips         High-performance GPU chips slated for a guaranteed annual import quota in the UAE deal, supporting American AI datacenter builds.
Nvidia Corporation            Nvidia GB200 NVL72 system     A state‐of‐the‐art 120kW, 72‐GPU rack designed for large language model (LLM) inference and training, cooled exclusively via Direct-to-Chip Liquid Cooling.
Nvidia Corporation            Nvidia A100 GPUs              High-performance GPUs used as a baseline in cost comparisons for training GPT-style models.
Nvidia Corporation            Nvidia Blackwell              A GPU product used as a performance comparison reference, where each Nvidia Blackwell is noted to outperform an individual Ascend chip.
Nvidia Corporation            CMP Mining GPUs               GPUs specifically designed for cryptocurrency mining that cannot be repurposed for gaming.
Nvidia Corporation            Nvidia Dynamo                 An open AI engine stack aimed at simplifying deployment and scaling of inference, enhancing throughput especially for higher interactivity use cases.
Nvidia Corporation            Nvidia Bluefield-3 DPU        A data processing unit originally pitched for network virtualization in standard cloud deployments but considered unnecessary for AI Neoclouds.
Onto Innovation               Ai Diffract                   An AI-based software suite integrated into Onto Innovation’s metrology tools to enhance modeling and accuracy in nanosheet inspection.
Onto Innovation               Atlas V                       A product line from Onto Innovation offering superior standalone OCD metrology and inspection tools, leveraging advanced software and modeling for next-generation gate‐all‐around nanosheet processes.
Onto Innovation               SpectraProbe                  A software suite that works in tandem with advanced hardware to provide precise 3D modeling for complex nanosheet structures.
Open Assistant Project        Open Assistant                A model and an accompanying dataset for alignment via RLHF that brings open source reinforcement learning from human feedback within the reach of small-scale experimenters.
Open Source Project           LLaMA-Adapter                 A technique that introduces both instruction tuning and multimodality in a very short training time using a small number of learnable parameters.
OpenAI                        GPT-5                         The next-generation language model anticipated to drive future innovations in AI research.
OpenAI                        DALL-E 3                      A generative model by OpenAI designed to create images from textual descriptions.
OpenAI                        GPT‑4o model                  A version of OpenAI's advanced language model that recently underwent personality modifications based on user feedback.
OpenAI                        GPT-4                         A large language model that uses a sparse architecture to activate only a subset of parameters during inference, enabling efficient scaling and lower inference costs.
OpenAI                        GPT-3.5 Turbo                 A cost-effective chat and inference model that benefits from high batch sizes and efficient resource usage.
OpenAI                        Codex                         An AI coding agent that automates software engineering tasks such as fixing bugs and answering questions about a codebase. It is powered by a version of the o3 reasoning model and is accessible through ChatGPT.
OpenAI                        GPT                           A generative transformer-based language model.
OpenAI                        GPT-4 Turbo                   A variant of GPT-4 designed to improve performance and efficiency.
OpenAI                        Dall-E                        An AI image generation tool capable of creating novel visuals from text descriptions.
OpenAI                        OpenAI Whisper                A speech-to-text model that has been adapted for on-device inference, offering an alternative to cloud-based speech recognition.
OpenAI                        GPT-4o                        Another variant of GPT-4, part of OpenAI's efforts to balance compute and cost.
OpenAI                        OpenAI Triton                 A compiler framework that converts Python (often via the PyTorch Inductor stack) into optimized GPU code, bypassing proprietary CUDA libraries.
OpenAI                        ChatGPT                       A popular AI chatbot capable of searching the web and retrieving research information.
OpenAI                        AI coding agent               A product that automates software engineering tasks such as fixing bugs and answering questions about a code base.
OpenAI, Inc.                  o1                            An AI model release that demonstrates new paradigms in reasoning and scaling through improved training and inference methods.
OpenAI, Inc.                  o1 Pro                        A follow‐up model to o1 featuring additional post-training adaptations and enhanced performance, including cost and batching improvements.
Oracle Cloud Infrastructure (OCI)OCI HPC Stack                 A one-click deployment solution for setting up GPU clusters with Slurm and monitoring via Oracle Cloud Infrastructure.
Pacific Biosciences of California, Inc.Revio                         A long-read sequencing instrument that integrates Nvidia GPUs to provide up to 12x the data throughput in 20% less time compared to previous systems.
Palantir Technologies Inc.    Data-analytics software       A software product used for analyzing large datasets, helping organizations improve efficiencies and decision-making.
Perplexity                    Comet Browser                 A browser product developed by Perplexity that uses computer agents to assist users with search, aimed at differentiating its offerings from competitors.
Perplexity                    Perplexity Search Engine      An AI-powered search engine which has seen a five-fold increase in questions and significant user growth.
Perplexity                    Perplexity Chatbot            A subscription-based chatbot product that allows individual users to ask queries and receive fast, summarized answers with links to sources. It is available for free or for $20 per month with enhanced features.
Perplexity                    Perplexity API                An application programming interface that enables developers to integrate Perplexity’s AI search capabilities into their own products.
Pinterest                     Pinterest Boards              A core product that allows users to curate and share collections of images, serving as Pinterest’s original feature and a primary focus of its renewed strategy.
Power Integrations            33-watt in box charger        An advanced charger design that is set to increase penetration at a top-tier handset OEM.
Power Integrations            130-watt charger design for gaming notebooksA design featuring four charging ports and three GaN-based InnoSwitches that enables smaller and more efficient gaming laptop power bricks.
Power Integrations            InnoSwitch4                   The latest product that leverages GaN technology to achieve improved power density and performance, produced exclusively with GaN.
Power Integrations            iDriver family                A family of gate driver solutions capable of handling up to 6500V, used across a wide range of applications from motors and UPS systems to renewable energy projects and electric vehicle charging.
Power Integrations Inc.       InnoSwitch Device             A high voltage power module device designed for next-generation 800-volt electric vehicle platforms, incorporating a high-voltage silicon carbide MOSFET.
Qualcomm                      Snapdragon X                  An Arm-based CPU product designed for Windows PCs.
Qualcomm                      ultraSAW filters              An RF filter product operating from 600MHz to 2.7GHz released last year, which improved the usability of GlobalStar’s n53 band.
Qualcomm                      Snapdragon 800                A flagship system-on-chip series originally manufactured at Samsung, now transitioning to TSMC for improved competitiveness.
Qualcomm                      Data Center Chips for Artificial IntelligenceChips being developed to support artificial intelligence operations in data centers.
Qualcomm                      Flagship SOC on Samsung’s 4nm nodeAn upcoming high-performance system-on-chip scheduled for release in Q1 next year, built on Samsung’s 4nm process.
Qualcomm                      Flagship SOC on TSMC’s 4nm nodeA subsequent high-performance system-on-chip update scheduled for Q3 next year, built on TSMC’s 4nm process.
Qualcomm                      Qualcomm S8G2                 A chipset used in flagship smartphones, which Samsung has adopted for its flagship smartphone SoC, built on TSMC N4 technology.
Qualcomm                      Qualcomm S8G1                 A high-end smartphone SoC that experienced poor parametric yields in Samsung Foundry lines, prompting a shift to TSMC for production.
Qualcomm                      S8G1 flagship SOC             A revised version of Qualcomm’s flagship SOC that will shift from Samsung’s node to TSMC’s N4 process to improve efficiency and performance.
Qualcomm                      FSM200xx Platform             Qualcomm’s second‐generation small cell solution, manufactured on a Samsung 4nm LPP process and featuring full support for GPP Release 16, spectrum enhancements, and integrated Power over Ethernet (PoE) for reduced rollout costs.
Qualcomm                      ultraBAW filters              A new RF filter product operating from 2.7GHz to 7.2GHz that supports wide channel bandwidths and upcoming deployments like C-Band and Wi‑Fi 6E, shipping in volume by H2 2022.
Qualcomm                      FSM200xx                      A leadership product intended as part of a pre-qualified and pre‐approved vertical RF solution for small cells.
Qualcomm                      Adreno GPUs (S8G1+ / S8G2)    Graphics processing units used in smartphones, noted for iterative generational improvements.
Qualcomm                      mmWave Repeater               A product concept evaluated in three different forms to enhance 5G mmWave signal coverage and reduce overall network rollout costs by leveraging a few cells for backhaul.
Qualcomm                      5G DU X100 Accelerator Card   A PCIe inline accelerator card designed to offload complex real-time RAN functions such as demodulation, beamforming, channel coding, and Massive MIMO computation to simplify vRAN/oRAN deployments.
Qualcomm Inc.                 UltraBAW filters              A type of filter technology used in RF front-end modules to improve performance in wireless communications.
Qualcomm Inc.                 5G and WiFi 7 front end modulesIntegrated modules that provide end-to-end RF solutions—from modem to antenna—for smartphones and automotive applications.
Qualcomm Incorporated         Phoenix Core                  A custom CPU core architecture developed by Qualcomm, based on technology acquired from Nuvia, intended to deliver better performance and lower royalty rates under its architecture licensing agreement.
Qualcomm Incorporated         Centriq Server CPU            A server CPU product led by Qualcomm’s former director of Datacenter, designed to compete in hyperscale environments.
Qualcomm Incorporated         Qualcomm QTM525 mmWave Antenna ModuleQualcomm's 2nd generation mmWave antenna module, promoted as being less than 8mm thick but ultimately not thin enough for the iPhone 12.
Qualcomm Incorporated         Qualcomm QTM535 mmWave Antenna ModuleQualcomm's next generation mmWave antenna module, designed for the X60 platform but not adopted in the iPhone 12 due to thickness constraints.
Qualcomm Incorporated         Orion Server Platform         A server platform based on the Phoenix Core, intended to be licensed to hyperscalers rather than being sold as a merchant silicon platform.
Qualcomm Incorporated         Cloud AI 100                  An AI inference product designed for edge applications that has recorded wins in the market.
Qualcomm Incorporated         Nuvia Phoenix core            A CPU core derived from technology originally developed by Nuvia using Arm-based intellectual property, whose further development is under dispute between Arm and Qualcomm.
Qualcomm Incorporated         Qualcomm SDR865 Transceiver and SubsystemA transceiver and subsystem used in conjunction with Apple's custom mmWave approach in the iPhone 12.
Qualcomm Incorporated         Qualcomm X55 5G Modem RF SystemA 5G modem RF system from Qualcomm whose other components continue to be used in the iPhone 12.
Qualcomm Incorporated         Snapdragon SoCs               Smartphone system-on-chips integrating Qualcomm technology, including customized Arm-based cores.
Qualcomm Incorporated         DU X100                       A hardware accelerator designed for digital signal processing in Layer 1 of radio access networks.
Qualcomm Incorporated         735G SoC                      An upper midrange system-on-chip previously developed on Samsung's 7nm process, mentioned as a past reference for Qualcomm’s limited process technology engagements.
Qualcomm Incorporated         S888                          A Qualcomm chip referenced as a performance benchmark in comparison to Huawei’s Kirin 9000S.
Qualcomm Incorporated         S8G1                          A Qualcomm chip whose performance and power consumption are compared directly with Huawei’s custom Arm A510 cores.
Qualcomm Incorporated         FSM200                        A network infrastructure product from Qualcomm highlighted for its advanced design in the category.
Qualcomm Incorporated         Qualcomm Snapdragon 8 Gen 2   A flagship mobile processor that leverages advanced semiconductor technology for performance enhancements.
Rockley Photonics Inc.        Cloud Analytics Platform      A platform that will leverage cloud analytics to support and enhance the monitoring capabilities, enabling rapid testing, trend analysis, and disease management.
Rockley Photonics Inc.        Advanced Module               An enhanced module featuring double the number of lasers compared to the basic module, extending the infrared spectroscopy range to detect additional biomarkers such as alcohol, carbon monoxide, glucose indicators, and lactate for non-invasive continuous glucose monitoring.
Rockley Photonics Inc.        Basic Module                  A consumer electronics module that integrates a multi-laser spectrometer which measures biomarkers including blood oxygen, heart rate, breath rate, hydration, core body temperature, and blood pressure with higher accuracy than LED-based sensors.
SK Hynix                      SK Hynix HBM4 with MR-MUF packagingA high-bandwidth memory product that leverages Mass Reflow – Molded Underfill (MR-MUF) packaging to enhance thermal performance and throughput.
SK Hynix Inc.                 HBM3 Memory Module            The latest generation of High Bandwidth Memory modules, available in configurations such as 8-layer 16GB and 12-layer 24GB, used in high-performance GPUs.
SMIC                          SMIC 7nm (N+2) Process Node   An advanced semiconductor manufacturing process node that is being mass produced by SMIC. It is reported to be very similar to TSMC’s 7nm process technology and does not use EUV lithography.
STMicroelectronics            STMicroelectronics MicrocontrollerA microcontroller product whose price in China dropped from approximately $49.60 to $42.62, indicating falling demand and market adjustments.
Samsung                       1X DRAM node                  Samsung’s current highest volume DRAM node, which is expected to be impacted by the ramp-up of the new 1A node.
Samsung                       1A DRAM node                  A next-generation DRAM technology node that Samsung is about to ramp, anticipated to significantly increase supply amid an already oversupplied market.
Samsung                       176L NAND                     A NAND memory technology node that Samsung is ramping up to catch up with competitors in the NAND market.
Samsung                       Bixby                         A voice assistant developed to enhance user interaction on Samsung devices.
Samsung                       Next chip                     A forthcoming chip expected to be larger and packaged differently for use in mass produced automobiles rather than in high-power datacenters.
Samsung                       Samsung 1000-layer Vertical NAND (VNAND)A high-density NAND flash memory product that leverages advanced multiple wafer stacking techniques.
Samsung Electronics           Game Optimizing Service       A service provided by Samsung that throttled applications (except benchmarks) to control heat and power consumption.
Samsung Electronics           Exynos 2400                   A flagship smartphone chip based on older 4nm class technology, noted in the article as not representing a true next-generation process for Samsung.
Samsung Electronics           Exynos 2200                   A smartphone system-on-chip (SoC) that suffered from abysmal yields and performance/power issues.
Samsung Electronics           ISOCELL Smartphone Sensors    Smartphone image sensors that have been slow in adopting hybrid bonding technology relative to competitors.
Samsung Electronics           Exynos                        Samsung's flagship mobile chipset line, which may see early low-volume production using the 3nm process node.
Samsung LSI                   Tesla HW 3.0                  A co-designed automotive chip for self-driving/ADAS applications that has shipped millions of units into Tesla vehicles.
